EventID, TypeID, Severity, Date, Source, Description
1,1,NORMAL,2014-03-11 17:37:43,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
3,4,CRITICAL,2014-03-12 14:50:26,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Loss"
5,2,NORMAL,2014-03-12 14:55:37,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Established"
7,3,IMPAIRED,2014-03-12 14:56:25,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
8,4,CRITICAL,2014-03-12 14:56:26,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Loss"
9,1,NORMAL,2014-03-12 14:57:59,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
11,5,IMPAIRED,2014-03-12 15:38:08,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery"
11,5,IMPAIRED,2014-03-12 15:38:08,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery: shutdown sequence initiated"
14,34,CRITICAL,2014-03-12 15:43:09,"[10.1.1.1]User-PC/","System Shutdown Commencing"
15,3,IMPAIRED,2014-03-12 15:43:09,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
16,3,IMPAIRED,2014-03-12 15:43:34,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
17,1,NORMAL,2014-03-12 16:24:41,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
20,5,IMPAIRED,2014-03-12 16:42:24,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery"
20,5,IMPAIRED,2014-03-12 16:42:24,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery: shutdown sequence initiated"
28,34,CRITICAL,2014-03-12 16:47:24,"[10.1.1.1]User-PC/","System Shutdown Commencing"
29,3,IMPAIRED,2014-03-12 16:47:24,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
30,3,IMPAIRED,2014-03-12 16:47:50,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
31,1,NORMAL,2014-03-12 16:57:53,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
